CaseID ;Title                                                            ;Location                                                   ;City                                         ;State                ;Latitude           ;Longitude    ;Number of Victim Fatalities ;Total Number of Fatalities ;Number of Victims Injured ;Total_Number_of_Victims
238.0  ;Inglis, Florida                                                  ;Inglis, Florida                                            ;Inglis                                       ;Florida              ;29.03270634        ;-82.65919302 ;2.0                         ;3.0                        ;1.0                       ;3.0
185.0  ;Morgantown                                                       ;Morgantown, West Virginia                                  ;Morgantown                                   ;West Virginia        ;39.63400851        ;-79.94839325 ;4.0                         ;5.0                        ;0.0                       ;4.0
228.0  ;Bristol, Tennessee                                               ;Bristol, Tennessee                                         ;Bristol                                      ;Tennessee            ;36.55605824        ;-82.21429551 ;3.0                         ;3.0                        ;1.0                       ;4.0
4.0    ;Clara Barton Elementary School                                   ;Chicago, Illinois                                          ;Chicago                                      ;Illinois             ;41.83928045        ;-87.68818145 ;1.0                         ;1.0                        ;3.0                       ;4.0
71.0   ;Columbine High School                                            ;Littleton, Colorado                                        ;Littleton                                    ;Colorado             ;39.59358263        ;-105.0152112 ;13.0                        ;15.0                       ;24.0                      ;37.0
16.0   ;McDonald's restaurant in San Ysidro                              ;San Ysidro, California                                     ;San Ysidro                                   ;California           ;32.555556          ;-117.047656  ;21.0                        ;22.0                       ;19.0                      ;40.0
116.0  ;Fort Hood Army Base                                              ;Fort Hood, Texas                                           ;Fort Hood                                    ;Texas                ;31.13814354        ;-97.77797804 ;13.0                        ;13.0                       ;32.0                      ;45.0
58.0   ;Fort Lauderdale City Parks Office                                ;Fort Lauderdale, Florida                                   ;Fort Lauderdale                              ;Florida              ;26.11737018        ;-80.14865708 ;6.0                         ;7.0                        ;0.0                       ;6.0
297.0  ;Elberton, Georgia murder-suicide                                 ;Elberton, Georgia                                          ;Elberton                                     ;Georgia              ;34.111223          ;-82.867084   ;1.0                         ;2.0                        ;2.0                       ;3.0
264.0  ;Residence in Lakeland, Florida                                   ;Lakeland, Florida                                          ;Lakeland                                     ;Florida              ;28.039465          ;-81.949804   ;3.0                         ;3.0                        ;1.0                       ;4.0
265.0  ;Roadside in Memphis, Tennessee                                   ;Memphis, Tennessee                                         ;Memphis                                      ;Tennessee            ;35.149534          ;-90.04898    ;1.0                         ;1.0                        ;3.0                       ;4.0
49.0   ;Chelsea High School                                              ;Chelsea, Michigan                                          ;Chelsea                                      ;Michigan             ;42.31319376        ;-84.01868108 ;1.0                         ;1.0                        ;2.0                       ;3.0
189.0  ;Killeen                                                          ;Killeen, Texas                                             ;Killeen                                      ;Texas                ;31.07925506        ;-97.73392317 ;3.0                         ;4.0                        ;1.0                       ;4.0
296.0  ;Detroit Drive-by                                                 ;Detroit, Michigan                                          ;Detroit                                      ;Michigan             ;42.331427          ;-83.045754   ;2.0                         ;2.0                        ;2.0                       ;4.0
215.0  ;Mother Emanuel AME Church                                        ;Charleston, South Carolina                                 ;Charleston                                   ;South Carolina       ;32.8129729         ;-79.96693995 ;9.0                         ;9.0                        ;0.0                       ;9.0
230.0  ;Platte, South Dakota                                             ;Platte, South Dakota                                       ;Platte                                       ;South Dakota         ;43.38682722        ;-98.84357239 ;5.0                         ;6.0                        ;0.0                       ;5.0
73.0   ;Offices of All-Tech Investment Group and Momentum Securities     ;Atlanta, Georgia                                           ;Atlanta                                      ;Georgia              ;33.7629969         ;-84.4231328  ;9.0                         ;10.0                       ;12.0                      ;21.0
125.0  ;Salon Meritage                                                   ;Seal Beach, California                                     ;Seal Beach                                   ;California           ;33.75432632        ;-118.0715378 ;8.0                         ;8.0                        ;1.0                       ;9.0
